0 Branching ratio for HCN     Total         1 branches
Lambda         Total      CN/H
1846.1   0   0
1847.1   0   0
1848.1   0   0
1849.1   0   0
1850.1   0   0
1851.1   0   0
1852.1   0   0
1853.1   0   0
1854.1   0   0
1855.1   0   0
1856.1   0   0
1857.1   0   0
1858.1   0   0
1859.1   0   0
1860.1   0   0
1861.1   0   0
1862.1   0   0
1863.1   0   0
1864.1   0   0
1865.1   0   0
1866.1   0   0
1867.1   0   0
1868.1   0   0
1869.1   0   0
1870.1   0   0
1871.1   0   0
1872.1   0   0
1873.1   0   0
1874.1   0   0
1875.1   0   0
1876.1   0   0
1877.1   0   0
1878.1   0   0
1879.1   0   0
1880.1   0   0
1881.1   0   0
1882.1   0   0
1883.1   0   0
1884.1   0   0
1885.1   0   0
1886.1   0   0
1887.1   0   0
1888.1   0   0
1889.1   0   0
1890.1   0   0
1891.1   0   0
1892.1   0   0
1893.1   0   0
1894.1   0   0
1895.1   0   0
1896.1   0   0
1897.1   0   0
1898.1   0   0
1899.1   0   0
1900.1   0   0
1901.1   0   0
1902.1   0   0
1903.1   0   0
1904.1   0   0
1905.1   0   0
1906.1   0   0
1907.1   0   0
1908.1   0   0
1909.1   0   0
1910.1   0   0
1911.1   0   0
1912.1   0   0
1913.1   0   0
1914.11   0   0
1915.11   0   0
1916.11   0   0
1917.11   0   0
1918.11   0   0
1919.11   0   0
1920.11   0   0
1921.11   0   0
1922.11   0   0
1923.11   0   0
1924.11   0   0
1925.11   0   0
1926.11   0   0
1927.11   0   0
1928.11   0   0
1929.11   0   0
1930.11   0   0
1931.11   0   0
1932.11   0   0
1933.11   0   0
1934.11   0   0
1935.11   0   0
1936.11   0   0
1937.11   0   0
1938.11   0   0
1939.11   0   0
1940.11   0   0
1941.11   0   0
1942.11   0   0
1943.11   0   0
1944.11   0   0
1945.11   0   0
1946.11   0   0
1947.11   0   0
1948.11   0   0
1949.11   0   0
1950.11   0   0
1951.11   0   0
1952.11   0   0
1953.11   0   0
1954.11   0   0
1955.11   0   0
1956.11   0   0
1957.11   0   0
1958.11   0   0
1959.11   0   0
1960.11   0   0
1961.11   0   0
1962.11   0   0
1963.11   0   0
1964.11   0   0
1965.11   0   0
1966.11   0   0
1967.11   0   0
1968.11   0   0
1969.11   0   0
1970.11   0   0
1971.11   0   0
1972.11   0   0
1973.11   0   0
1974.11   0   0
1975.11   0   0
1976.11   0   0
1977.11   0   0
1978.11   0   0
1979.11   0   0
1980.11   0   0
1981.11   0   0
1982.12   0   0
1983.12   0   0
1984.12   0   0
1985.12   0   0
1986.12   0   0
1987.12   0   0
1988.12   0   0
1989.12   0   0
1990.12   0   0
1991.12   0   0
1992.12   0   0
1993.12   0   0
1994.12   0   0
1995.12   0   0
1996.12   0   0
1997.12   0   0
1998.12   0   0
1999.12   0   0
2000.12   0   0
2001.12   0   0
2002.12   0   0
2003.12   0   0
2004.12   0   0
2005.12   0   0
2006.12   0   0
2007.12   0   0
2008.12   0   0
2009.12   0   0
2010.12   0   0
2011.12   0   0
2012.12   0   0
2013.12   0   0
2014.12   0   0
2015.12   0   0
2016.12   0   0
2017.12   0   0
2018.12   0   0
2019.12   0   0
2020.12   0   0
2021.12   0   0
2022.12   0   0
2023.12   0   0
2024.12   0   0
2025.12   0   0
2026.12   0   0
2027.12   0   0
2028.12   0   0
2029.12   0   0
2030.12   0   0
2031.12   0   0
2032.12   0   0
2033.12   0   0
2034.12   0   0
2035.12   0   0
2036.12   0   0
2037.12   0   0
2038.12   0   0
2039.12   0   0
2040.12   0   0
2041.12   0   0
2042.12   0   0
2043.12   0   0
2044.12   0   0
2045.12   0   0
2046.12   0   0
2047.12   0   0
2048.12   0   0
2049.12   0   0
2050.13   0   0
2051.13   0   0
2052.13   0   0
2053.13   0   0
2054.13   0   0
2055.13   0   0
2056.13   0   0
2057.13   0   0
2058.13   0   0
2059.13   0   0
2060.13   0   0
2061.13   0   0
2062.13   0   0
2063.13   0   0
2064.13   0   0
2065.13   0   0
2066.13   0   0
2067.13   0   0
2068.13   0   0
2069.13   0   0
2070.13   0   0
2071.13   0   0
2072.13   0   0
2073.13   0   0
2074.13   0   0
2075.13   0   0
2076.13   0   0
2077.13   0   0
2078.13   0   0
2079.13   0   0
2080.13   0   0
2081.13   0   0
2082.13   0   0
2083.13   0   0
2084.13   0   0
2085.13   0   0
2086.13   0   0
2087.13   0   0
2088.13   0   0
2089.13   0   0
2090.13   0   0
2091.13   0   0
2092.13   0   0
2093.13   0   0
2094.13   0   0
2095.13   0   0
2096.13   0   0
2097.13   0   0
2098.13   0   0
2099.13   0   0
2100.13   0   0
2101.13   0   0
2102.13   0   0
2103.13   0   0
2104.13   0   0
2105.13   0   0
2106.13   0   0
2107.13   0   0
2108.13   0   0
2109.13   0   0
2110.13   0   0
2111.13   0   0
2112.13   0   0
2113.13   0   0
2114.13   0   0
2115.13   0   0
2116.13   0   0
2117.13   0   0
2118.14   0   0
2119.14   0   0
2120.14   0   0
2121.14   0   0
2122.14   0   0
2123.14   0   0
2124.14   0   0
2125.14   0   0
2126.14   0   0
2127.14   0   0
2128.14   0   0
2129.14   0   0
2130.14   0   0
2131.14   0   0
2132.14   0   0
2133.14   0   0
2134.14   0   0
2135.14   0   0
2136.14   0   0
2137.14   0   0
2138.14   0   0
2139.14   0   0
2140.14   0   0
2141.14   0   0
2142.14   0   0
2143.14   0   0
2144.14   0   0
2145.14   0   0
2146.14   0   0
2147.14   0   0
2148.14   0   0
2149.14   0   0
2150.14   0   0
2151.14   0   0
2152.14   0   0
2153.14   0   0
2154.14   0   0
2155.14   0   0
2156.14   0   0
2157.14   0   0
2158.14   0   0
2159.14   0   0
2160.14   0   0
2161.14   0   0
2162.14   0   0
2163.14   0   0
2164.14   0   0
2165.14   0   0
2166.14   0   0
2167.14   0   0
2168.14   0   0
2169.14   0   0
2170.14   0   0
2171.14   0   0
2172.14   0   0
2173.14   0   0
2174.14   0   0
2175.14   0   0
2176.14   0   0
2177.14   0   0
2178.14   0   0
2179.14   0   0
2180.14   0   0
2181.14   0   0
2182.14   0   0
2183.14   0   0
2184.14   0   0
2185.14   0   0
2186.15   0   0
2187.15   0   0
2188.15   0   0
2189.15   0   0
2190.15   0   0
2191.15   0   0
2192.15   0   0
2193.15   0   0
2194.15   0   0
2195.15   0   0
2196.15   0   0
2197.15   0   0
2198.15   0   0
2199.15   0   0
2200.15   0   0
2201.15   0   0
2202.15   0   0
2203.15   0   0
2204.15   0   0
2205.15   0   0
2206.15   0   0
2207.15   0   0
2208.15   0   0
2209.15   0   0
2210.15   0   0
2211.15   0   0
2212.15   0   0
2213.15   0   0
2214.15   0   0
2215.15   0   0
2216.15   0   0
2217.15   0   0
2218.15   0   0
2219.15   0   0
2220.15   0   0
2221.15   0   0
2222.15   0   0
2223.15   0   0
2224.15   0   0
2225.15   0   0
2226.15   0   0
2227.15   0   0
2228.15   0   0
2229.15   0   0
2230.15   0   0
2231.15   0   0
2232.15   0   0
2233.15   0   0
2234.15   0   0
2235.15   0   0
2236.15   0   0
2237.15   0   0
2238.15   0   0
2239.15   0   0
2240.15   0   0
2241.15   0   0
2242.15   0   0
2243.15   0   0
2244.15   0   0
2245.15   0   0
2246.15   0   0
2247.15   0   0
2248.15   0   0
2249.15   0   0
2250.15   0   0
2251.15   0   0
2252.15   0   0
2253.15   0   0
2254.16   0   0
2255.16   0   0
2256.16   0   0
2257.16   0   0
2258.16   0   0
2259.16   0   0
2260.16   0   0
2261.16   0   0
2262.16   0   0
2263.16   0   0
2264.16   0   0
2265.16   0   0
2266.16   0   0
2267.16   0   0
2268.16   0   0
2269.16   0   0
2270.16   0   0
2271.16   0   0
2272.16   0   0
2273.16   0   0
2274.16   0   0
2275.16   0   0
2276.16   0   0
2277.16   0   0
2278.16   0   0
2279.16   0   0
2280.16   0   0
2281.16   0   0
2282.16   0   0
2283.16   0   0
2284.16   0   0
2285.16   0   0
2286.16   0   0
2287.16   0   0
2288.16   0   0
2289.16   0   0
2290.16   0   0
2291.16   0   0
2292.16   0   0
